"SA - media.nypl.org"

"Custom View: 1/1/07 - 12/11/09"
"2007-01-01 00:00:00","2009-12-11 23:59:59"


"Downloaded Files"
,"Downloaded Files",HRef,"Downloads","% Downloads","Visits"
1,"http://media.nypl.org/live/levy_zizek_9_16_08.mp3","http://media.nypl.org/live/levy_zizek_9_16_08.mp3",9351,0.03444,2842
2,"http://media.nypl.org/video/live_2009_09_25_parker_adams.mp4","http://media.nypl.org/video/live_2009_09_25_parker_adams.mp4",8349,0.03075,448
3,"http://media.nypl.org/audio/live_2009_09_25_parker_adams.mp3","http://media.nypl.org/audio/live_2009_09_25_parker_adams.mp3",6403,0.02358,2075
4,"http://media.nypl.org/live/video/live_dada_4_13_09.mp4","http://media.nypl.org/live/video/live_dada_4_13_09.mp4",6115,0.02252,258
5,"http://media.nypl.org/live/economy_10_28_08.mp3","http://media.nypl.org/live/economy_10_28_08.mp3",6079,0.02239,1100
6,"http://media.nypl.org/live/smith_12_5_08.mp3","http://media.nypl.org/live/smith_12_5_08.mp3",5590,0.02059,3040
7,"http://media.nypl.org/live/rushdie_eugenides_6_27_08.mp3","http://media.nypl.org/live/rushdie_eugenides_6_27_08.mp3",4257,0.01568,2045
8,"http://media.nypl.org/pico_iyer_4_11_08/pico_iyer_4_11_08.mp3","http://media.nypl.org/pico_iyer_4_11_08/pico_iyer_4_11_08.mp3",3302,0.01216,1873
9,"http://media.nypl.org/live/barenboim_12_9_08.mp3","http://media.nypl.org/live/barenboim_12_9_08.mp3",3223,0.01187,843
10,"http://media.nypl.org/live/updike_tribute_3_19_09.mp3","http://media.nypl.org/live/updike_tribute_3_19_09.mp3",3037,0.01118,781
11,"http://media.nypl.org/Blindspot_11_3_07/Blindspot_11_3_07pt3.mp3","http://media.nypl.org/Blindspot_11_3_07/Blindspot_11_3_07pt3.mp3",2978,0.01097,2180
12,"http://media.nypl.org/Eco_11_15_07/Eco_11_15_07.mp3","http://media.nypl.org/Eco_11_15_07/Eco_11_15_07.mp3",2899,0.01068,2029
13,"http://media.nypl.org/Bayard_11_17_07/Bayard_11_17_07.mp3","http://media.nypl.org/Bayard_11_17_07/Bayard_11_17_07.mp3",2885,0.01062,1701
